Артикул;Наименование;Количество;Единица измерения;Тип;Цена
MAG N33;Врезной магнит неодимовый, D10 мм;1290;шт.;Крепления и соединители;30,66
MAG VINIL;Магнитный винил с клеевой основой, 1х0,62 м, толщина 0,7 мм, темно-коричневый;518;шт.;Крепления и соединители;851,76
1 02080 20 WA;K-LINE Полкодержатель с дополнительным упором для деревянных полок без фиксации, бронза;2685;шт.;Полкодепжатели;3,39
1 02080 20 YA;K-LINE Полкодержатель с дополнительным упором для деревянных полок без фиксации, никель;2366;шт.;Полкодепжатели;3,39
3 016 107;OR Полкодержатель для стеклянных полок, бронза;2253;шт.;Полкодепжатели;5,65
DUO ZNL-PNE (к-т);Полкодержатель DUO (никель/черный);788;компл.;Полкодепжатели;11,26
DUO ZNL-PT (к-т);Полкодержатель DUO (никель/прозрачный);2295;компл.;Полкодепжатели;13,5
ME01ZBR;Полкодержатель с дополнительным упором для деревянных полок, бронза;926;шт.;Полкодепжатели;2,4
ME01ZNL (144);Полкодержатель с дополнительным упором для деревянных полок, никель;2771;шт.;Полкодепжатели;2,62
ME05ZNL/ШТ;Полкодержатель с дополнительным упором для деревянных полок, никель;2821;шт.;Полкодепжатели;1,49
ME10FNL;Полкодержатель для деревянных полок, никель;2846;шт.;Полкодепжатели;1,06
ME13PT (3006 5)/1000;GERMANY Полкодержатель для стеклянных полок, прозрачный;2811;упак.;Полкодепжатели;1324,26
MV05 (3016 106);OR Полкодержатель для стеклянных полок, никель;2986;шт.;Полкодепжатели;5,02
MV05 (3016 108);OR Полкодержатель для стеклянных полок, золото;1217;шт.;Полкодепжатели;5,65
PK5,0X16 NI;Полкодержатель для деревянных полок, никель;2285;упак.;Полкодепжатели;633,36
PK5,0X16B;Полкодержатель для деревянных полок, хром;230;упак.;Полкодепжатели;495,18
1 02080 50 WA;K-LINE Полкодержатель с дополнительным упором для деревянных полок c фиксацией, бронза;2788;шт.;Полкодепжатели;3,46
1 02080 50 YA;K-LINE Полкодержатель с дополнительным упором для деревянных полок c фиксацией, никель;835;шт.;Полкодепжатели;3,46
1 085 202 000;SPRING Сверло для установки полкодержателя, левое;585;шт.;Полкодепжатели;2995
1 145 201 000;PK2 Сверло для установки полкодержателя;744;шт.;Полкодепжатели;3348,54
1 175 202 000;MAORI 16 Сверло для установки полкодержателя;1978;шт.;Полкодепжатели;7776,92
1 175 204 000;MAORI 25/29 Сверло для установки полкодержателя;2107;шт.;Полкодепжатели;3203,44
1 22220 50 IJ;SECRET Скрытый полкодержатель для деревянных полок толщиной от 25 мм с фиксацией;2025;шт.;Полкодепжатели;76,05
2 567 852;UNICO Полкодержатель для деревянных полок с фиксацией, со штоком без резьбы, светло-серый;1888;шт.;Полкодепжатели;16,82
2 567 862;UNICO Полкодержатель для деревянных полок с фиксацией, со штоком с резьбой, светло-серый;2643;шт.;Полкодепжатели;7,5
2574 20;FLIPPER Полкодержатель для деревянных полок с фиксацией, прозрачный;708;шт.;Полкодепжатели;2,97
2574 21;FLIPPER Полкодержатель для деревянных полок с фиксацией, белый;111;шт.;Полкодепжатели;2,97
2574 22;FLIPPER Полкодержатель для деревянных полок с фиксацией, черный;2267;шт.;Полкодепжатели;2,97
2574 23;FLIPPER Полкодержатель для деревянных полок с фиксацией, коричневый;1762;шт.;Полкодепжатели;2,97
2574 30;FLIPPER Полкодержатель для деревянных полок с фиксацией, серый;651;шт.;Полкодепжатели;2,97
2574 36;FLIPPER Шток-евровинт для полкодержателя;2370;шт.;Полкодепжатели;2,19
2574 50;FLIPPER Шток с гладким штифтом для полкодержателя;123;шт.;Полкодепжатели;2,76
2 597 041;PK2 Полкодержатель пластик светло-серый;1364;шт.;Полкодепжатели;10,11
2597 15;PK2 Опора полкодержателя с дюбелем, никель;2722;шт.;Полкодепжатели;12,02
2597 25;PK2 Опора полкодержателя с евровинтом, никель;2750;шт.;Полкодепжатели;11,8
2597 35;PK2 Опора полкодержателя с саморезом, никель;236;шт.;Полкодепжатели;11,8
2597 36;PK2 Опора полкодержателя с саморезом, бронза;951;шт.;Полкодепжатели;12,65
2598 15;SPRING Полкодержатель с подпружиненным штоком для деревянных полок с фиксацией;1459;шт.;Полкодепжатели;16,04
2600 112 MAORI12;MAORI 12, корпус полкодержателя для ДСП от 12 мм;268;шт.;Полкодепжатели;0,83
2600 116 MAORI16;MAORI Корпус полкодержателя для деревянных полок толщиной от 16 мм с фиксацией;2954;шт.;Полкодепжатели;4,45
2600 310 MAORI12;MAORI 12, опора полкодержателя для ДСП от 12 мм, Никель;689;шт.;Полкодепжатели;1,13
2600 410 MAORI16;MAORI Опора полкодержателя для деревянных полок толщиной от 16 мм с фиксацией, никель;1345;шт.;Полкодепжатели;6,57
2600 420 MAORI16;MAORI Опора полкодержателя для деревянных полок толщиной от 16 мм с фиксацией, с дюбелем и саморезом, никель;59;шт.;Полкодепжатели;11,87
3526 79 М4;Цилиндр с внутренней резьбой М4;2887;шт.;Полкодепжатели;8,84
AL02;Полкодержатель для деревянных полок с фиксацией, с двумя отверстиями под саморез, никель;662;шт.;Полкодепжатели;6,36
AL02 ZBR;Полкодержатель для деревянных полок с фиксацией, с двумя отверстиями под саморез, бронза;2053;шт.;Полкодепжатели;6,36
AL22;Полкодержатель для деревянных полок с фиксацией, с круглым и овальным отверстиями под саморез, никель;2467;шт.;Полкодепжатели;6,36
AL22 ZBR;Полкодержатель для деревянных полок с фиксацией, с круглым и овальным отверстиями под саморез, бронза;511;шт.;Полкодепжатели;6,36
BR01;Фиксатор полки, белый;2297;шт.;Полкодепжатели;1,06
CN01NL;ONE Заглушка полкодержателя, никель;423;шт.;Полкодепжатели;4,03
E004-BLACK;E004 Полкодержатель черный;2585;шт.;Полкодепжатели;0,2
E004-SCREW;Винт полкодержателя E004/E005;302;шт.;Полкодепжатели;0,21
ME03ZNL;Полкодержатель для деревянных полок с фиксацией, со штоком и отверстием под саморез, никель;2467;шт.;Полкодепжатели;3,11
ME04ZNL (1841-07);Полкодержатель для деревянных полок с фиксацией, никель;1803;шт.;Полкодепжатели;3,11
ME19PMA;Полкодержатель пластиковый коричневый;1283;шт.;Полкодепжатели;0,25
ME19PNE;Полкодержатель пластиковый черный;838;шт.;Полкодепжатели;0,25
ME36 PMA;Полкодержатель-фиксатор для ДСП 16 мм (коричневый);897;шт.;Полкодепжатели;0,25
ME36 PT;Полкодержатель для деревянных полок с фиксацией, без сверления, прозрачный;257;шт.;Полкодепжатели;0,25
ME37 PMA;Полкодержатель-фиксатор для ДСП 18 мм (коричневый);1622;шт.;Полкодепжатели;0,25
ON01;ONE Полкодержатель для деревянных полок от 16 мм с фиксацией;1145;шт.;Полкодепжатели;5,94
SI033;SI03 Полкодержатель для деревянных полок с фиксацией, серый;1910;шт.;Полкодепжатели;2,05
SI036;SI03 Полкодержатель для деревянных полок с фиксацией, бук;1993;шт.;Полкодепжатели;1,39
SI037;SI03 Полкодержатель для деревянных полок с фиксацией, бежевый;1722;шт.;Полкодепжатели;2,05
SI038;SI03 Полкодержатель для деревянных полок с фиксацией, вишня;1610;шт.;Полкодепжатели;1,3
SI039;SI03 Полкодержатель для деревянных полок с фиксацией, дуб;1021;шт.;Полкодепжатели;1,55
SI03PB;SI03 Полкодержатель для деревянных полок с фиксацией, белый;2660;шт.;Полкодепжатели;2,05
SI03PMA;SI03 Полкодержатель для деревянных полок с фиксацией, коричневый;1905;шт.;Полкодепжатели;2,05
SI03PNE;SI03 Полкодержатель черный;2661;шт.;Полкодепжатели;1,3
TZ01;ZERO Шток для полкодержателя;181;шт.;Полкодепжатели;5,73
TZ02;ONE Шток-евровинт для полкодержателя;1834;шт.;Полкодепжатели;4,31
VE08FZ;SI03 Винт для полкодержателя;2284;шт.;Полкодепжатели;1,84
ZE01;ZERO Скрытый фронтальный полкодержатель для деревянных полок толщиной от 18 мм с фиксацией;1856;шт.;Полкодепжатели;7,07
ZE02;ZERO Скрытый тыльный полкодержатель для деревянных полок толщиной от 18 мм с фиксацией;288;шт.;Полкодепжатели;7,07
1 02080 30 WA;K-LINE Полкодержатель с дополнительным упором для стеклянных полок без фиксации, бронза;493;шт.;Полкодепжатели;7,63
1 02080 30 YA;K-LINE Полкодержатель с дополнительным упором для стеклянных полок без фиксации, никель;2155;шт.;Полкодепжатели;7,63
3011 23 DREAM;DREAM Полкодержатель для стеклянных полок, никель;1441;шт.;Полкодепжатели;5,87
3 016 107;OR Полкодержатель для стеклянных полок, бронза;939;шт.;Полкодепжатели;5,65
CF135 PB;Полкодержатель с гвоздем для деревянных полок, белый;1627;шт.;Полкодепжатели;2,9
CF135 PMA;Полкодержатель с гвоздем для деревянных полок, коричневый;645;шт.;Полкодепжатели;0,95
DUO ZNL-PNE (к-т);Полкодержатель DUO (никель/черный);117;компл.;Полкодепжатели;11,26
DUO ZNL-PT (к-т);Полкодержатель DUO (никель/прозрачный);1709;компл.;Полкодепжатели;13,5
K310 CP;Полкодержатель с присосокой для стеклянных полок, под саморез, хром;1191;шт.;Полкодепжатели;36,82
ME13PT (3006 5)/1000;GERMANY Полкодержатель для стеклянных полок, прозрачный;1536;упак.;Полкодепжатели;1324,26
MV01-E011;Полкодержатель с присоской для стеклянных полок, никель/прозрачный;2608;шт.;Полкодепжатели;3,68
MV01ZBR;Полкодержатель с присоской для стеклянных полок, бронза/прозрачный;1041;шт.;Полкодепжатели;3
MV01ZNL;Полкодержатель с присоской для стеклянных полок, никель/прозрачный;2441;шт.;Полкодепжатели;5,8
MV02PT;Полкодержатель для стеклянных полок, прозрачный;1860;шт.;Полкодепжатели;3,18
MV02PT (к-т);Полкодержатель прозрачный;1997;компл.;Полкодепжатели;5,3
MV03-E016;Полкодержатель с присоской и дополнительным упором для стеклянных полок, никель/прозрачный;1927;шт.;Полкодепжатели;3,11
MV03ZBR;Полкодержатель с присоской и дополнительным упором для стеклянных полок, бронза/прозрачный;2199;шт.;Полкодепжатели;5,8
MV03ZNL (140-07);Полкодержатель с присоской и дополнительным упором для стеклянных полок, никель/прозрачный;1860;шт.;Полкодепжатели;5,94
MV05 (3016 106);OR Полкодержатель для стеклянных полок, никель;1127;шт.;Полкодепжатели;5,02
MV05 (3016 108);OR Полкодержатель для стеклянных полок, золото;937;шт.;Полкодепжатели;5,65
PK5,0X16B+К;Полкодержатель в пластиковом чехольчике для стеклянных полок, хром;297;упак.;Полкодепжатели;909,72
SP03FZ;MV02PT Шток полкодержателя, никель;393;шт.;Полкодепжатели;2,12
1 60190 20 WA;KUBIC, корпус полкодержателя со штоком, бронза;403;шт.;Полкодепжатели;12
1 60190 30 YA;KUBIC, корпус полкодержателя с отверстием под саморез, никель;399;шт.;Полкодепжатели;11,5
1 60191 40 WA;KUBIC, верхний фиксатор полкодержателя, бронза;464;шт.;Полкодепжатели;4,5
1 60191 40 YA;KUBIC, верхний фиксатор полкодержателя, никель;1139;шт.;Полкодепжатели;9
1 60200 50 WA;KUBIC Полкодержатель для стеклянных полок толщиной 4-9 мм, под саморез, бронза;1033;шт.;Полкодепжатели;58,52
1 60200 50 YA;KUBIC Полкодержатель для стеклянных полок толщиной 4-9 мм, под саморез, никель;2797;шт.;Полкодепжатели;56,97
1 60200 60 WA;KUBIC Полкодержатель для стеклянных полок толщиной 4-9 мм, со штоком, бронза;2985;шт.;Полкодепжатели;15
1 60200 60 YA;KUBIC Полкодержатель для стеклянных полок толщиной 4-9 мм, со штоком, никель;469;шт.;Полкодепжатели;56,76
1 61130 10 KB;KRISTAL Полкодержатель для стеклянных полок толщиной 5-6 мм, под саморез, хром;2226;шт.;Полкодепжатели;34,77
1 61130 10 YA;KRISTAL Полкодержатель для стеклянных полок толщиной 5-6 мм, под саморез, никель;389;шт.;Полкодепжатели;25,52
1 61130 40 KB;KRISTAL Полкодержатель для стеклянных полок толщиной 5-6 мм, со штоком, хром;606;шт.;Полкодепжатели;35,83
1 61140 10 KB;KRISTAL Полкодержатель для стеклянных полок толщиной 8 мм, под саморез, хром;436;шт.;Полкодепжатели;35,83
1 61140 10 YA;KRISTAL Полкодержатель для стеклянных полок толщиной 8 мм, под саморез, никель;1445;шт.;Полкодепжатели;26,43
3020 51 PEKI;PEKI Полкодержатель с фиксатором для стеклянных полок толщиной 4-10 мм, бронза;1743;шт.;Полкодепжатели;40,15
3020 52 PEKI;PEKI Полкодержатель с фиксатором для стеклянных полок толщиной 4-10 мм, никель;446;шт.;Полкодепжатели;32,3
3023 422 COBRA 5-6MM;COBRA Полкодержатель для стеклянных полок толщиной 5-6 мм, под саморез, бронза;539;шт.;Полкодепжатели;5,12
3023 462 COBRA 5-6MM;COBRA Полкодержатель для стеклянных полок толщиной 5-6 мм, со штоком, бронза;930;шт.;Полкодепжатели;3
3023 47 COBRA 8-10MM;COBRA Полкодержатель для стеклянных полок толщиной 8-10 мм, со штоком, никель;847;шт.;Полкодепжатели;3
3023 472 COBRA 8-10M;COBRA Полкодержатель для стеклянных полок толщиной 8-10 мм, со штоком, бронза;543;шт.;Полкодепжатели;5,12
3023 95;PICCHIO Полкодержатель с фикс. D10 мм;405;шт.;Полкодепжатели;0,5
F001 CHROME;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;1661;шт.;Полкодепжатели;92,17
F001 PEARL;Полкодержатель для стеклянных полок толщиной 8-10 мм, никель матовый;1198;шт.;Полкодепжатели;49,5
F002 CHROME;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;2344;шт.;Полкодепжатели;80,65
F004;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;1712;шт.;Полкодепжатели;57,6
F005;Полкодержатель для стеклянных полок толщиной 6-8 мм, хром;1478;шт.;Полкодепжатели;34,56
FA08 CR;Полкодержатель для стеклянных полок толщиной 5-6 мм, со штоком, хром;2143;шт.;Полкодепжатели;17,67
FA08 NI;Полкодержатель для стеклянных полок толщиной 5-6 мм, со штоком, никель;467;шт.;Полкодепжатели;13,57
FA09 CR;Полкодержатель для стеклянных полок толщиной 8-10 мм, со штоком, хром;209;шт.;Полкодепжатели;4
FA09 NI;Полкодержатель никель;611;шт.;Полкодепжатели;6,5
FA10 CR;Полкодержатель для стеклянных полок толщиной 5-6 мм, под саморез, хром;73;шт.;Полкодепжатели;15,27
FA10 NI;Полкодержатель для стеклянных полок толщиной 5-6 мм, под саморез, никель;419;шт.;Полкодепжатели;9,68
FA11 CR;Полкодержатель для стеклянных полок толщиной 8-10 мм, под саморез, хром;1126;шт.;Полкодепжатели;18,45
FA11 NI;Полкодержатель для стеклянных полок толщиной 8-10 мм, под саморез, никель;856;шт.;Полкодепжатели;8,69
FA18 CR;Полкодержатель для стеклянных полок толщиной 5-6 мм, хром;855;компл.;Полкодепжатели;50,68
FA19 CR;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;2632;компл.;Полкодепжатели;95,77
MV07FNL;Полкодержатель для стеклянных полок толщиной 5-8 мм, со штоком, никель;501;шт.;Полкодепжатели;16,86
MV08-F007;Полкодержатель для стеклянных полок толщиной 5-8 мм, со штоком, хром;2375;шт.;Полкодепжатели;16,82
MV08-F008;Полкодержатель для стеклянных полок толщиной 5-8 мм, со штоком, хром;776;шт.;Полкодепжатели;16,82
MV08ZBR;Полкодержатель для стеклянных полок толщиной 5-8 мм, со штоком, бронза;927;шт.;Полкодепжатели;11,31
MV08ZNL;Полкодержатель для стеклянных полок толщиной 5-8 мм, со штоком, никель;2126;шт.;Полкодепжатели;9,33
MV14ZCR;Полкодержатель для стеклянных полок толщиной 5-6 мм, хром;1036;шт.;Полкодепжатели;35
MV15BZO;Полкодержатель для стеклянных полок толщиной 8-10 мм, золото;2638;шт.;Полкодепжатели;149,91
MV15ZCR;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;2872;шт.;Полкодепжатели;69,48
MV16ZCR;Полкодержатель для стеклянных полок толщиной 8-10 мм, хром;860;шт.;Полкодепжатели;136,41
MV16ZO;Полкодержатель для стеклянных полок толщиной 8-10 мм, золото;1081;шт.;Полкодепжатели;49,5
MV24PT;Полкодержатель для стеклянных полок с фиксацией, прозрачный;749;шт.;Полкодепжатели;2,33
515.BL;Пластик. кольцо для опоры черн. D50 мм.;870;шт.;Опора;44,18
516.BL;Пластик. кольцо для опоры черн. D60 мм.;2401;шт.;Опора;45,8
552.BL;Крепление боковое черн., пластик;1103;шт.;Опора;77,82
553.BL;Крепление фронтальное черн., пластик;462;шт.;Опора;65,8
145 710ММ / 4 ШТ;Опора для стекла, D60, H710+25 мм, хром, 4шт.;1452;упак.;Опора;2865,19
C25 ST;Элемент для клейки стекла на трубу d 25 с винтом М10 сталь;2433;шт.;Опора;113,57
C25/V ST;Элемент для клейки стекла на трубу d 25 без винта сталь;2955;шт.;Опора;107,89
C50 ST;Элемент для клейки стекла на трубу d 50 с винтом М10 сталь;1342;шт.;Опора;193,06
C50/V ST;Элемент для клейки стекла на трубу d 50 без винта сталь;1250;шт.;Опора;176,03
407 710ММ / 4 ШТ;Опора для стола конусная, H710+10 мм, хром, 4шт.;2849;упак.;Опора;4692,59
613.A0.01;Опора для стола с заглушкой, D60, H700+100мм, серебро, 1шт.;1023;шт.;Опора;1766,29
613.C1.01;Опора для стола с заглушкой, D60, H700+100мм, хром, 1шт.;1834;шт.;Опора;1428,94
613.R1;Колесо для опоры с заглушкой;416;шт.;Опора;472,07
633.A0.04;Опора для стола треугольная, H710+10 мм, серебро, 4шт.;1471;компл.;Опора;7000
633.AN.04;Опора для стола треугольная, H710+10 мм, нерж. сталь, 4шт.;215;компл.;Опора;5650
701.A0.02;Опора для стола квадратная, 60х60 мм, H710+15 мм, серебро, 4шт.;2996;упак.;Опора;4305
701.AB.02;Опора для стола квадратная, 60х60 мм, H710+15 мм, бронза, 4шт.;2658;упак.;Опора;4515
702.A0.01;Опора для стола круглая, D60, H710+15 мм, серебро, 4шт.;111;упак.;Опора;4042,5
702.AB.01;Опора для стола круглая, D60, H710+15 мм, бронза, 4шт.;858;упак.;Опора;4189,5
705.A0.04;Опора для стола треугольная, H710+15 мм, серебро, 4шт.;1566;упак.;Опора;6405
ART.974 /4;Опора алюминиевая для стола;2982;упак.;Опора;2500
ART.979 /4;Опора для стола квадратная, 60х60 мм, H710+25 мм, ал. мат, 4шт.;1249;упак.;Опора;4896,64
ART.989 /4;Опора для стола квадратная, 60х60 мм, H710+25 мм, серебро, 4шт.;2985;упак.;Опора;4500
D35/715 АЛЮМ MAT;Опора для стола П-образная, D32, H695+10мм, хром матовый, 1шт.;2901;шт.;Опора;1476,38
D35/715 АЛЮМ ГЛЯН;Опора для стола П-образная, D32, H695+10мм, алюм. глянец, 1шт.;306;шт.;Опора;1075
D50/715 АЛЮМ ГЛЯН/4;Опора для стола, D50, H715+25 мм, алюм. глянец, 4шт.;91;упак.;Опора;1440
D50/715 АЛЮМ МАТ/4;Опора для стола, D50, H715+25 мм, хром матовый, 4шт.;338;упак.;Опора;1370
D50/715 БЕЛ / 4 ШТ;Опора для стола, D50, H715+25 мм, белый глянец, 4шт.;1606;упак.;Опора;1370
D50/715 ХРОМ/4;Опора для стола, D50, H715+25 мм, хром вулканический, 4шт.;752;упак.;Опора;1570
D50/715 ЧЕР МУАР/4;Опора для стола, D50, H715+25 мм, черный муар, 4шт.;2981;упак.;Опора;1370
D63_715 АЛЮМ МАТ_4;Опора для стола, D63, H715+25 мм, хром матовый, 4шт.;739;упак.;Опора;1990
LEG40X720 CR CC 4;Опора для царгового стола, D40, H720 мм, изогнутая, хром, 4шт.;1023;упак.;Опора;2271,36
LEG50X720 MT 4;Опора для стола, D50, H720+20 мм, металлик, 4шт.;551;упак.;Опора;940
LEG50X720 MT CC 4;Опора для царгового стола, D50, H720+20 мм, металлик, 4шт.;1166;упак.;Опора;1124,32
LS20/715 АЛЮМ ГЛЯН/4;Опора для стола V-образная, H715 мм, алюм. глянец, 4шт.;696;упак.;Опора;999
LS20/715 АЛЮМ МАТ/4;Опора для стола V-образная, H715 мм, хром матовый, 4шт.;904;упак.;Опора;1589,95
LS20/715 ХРОМ/4;Опора для стола V-образная, H715 мм, хром вулканический, 4шт.;2235;упак.;Опора;1703,52
LS720 GR 4;Опора для стола V-образная, H720 мм, серый, 4шт.;2024;упак.;Опора;585
LS720 MT 4;Опора для стола V-образная, H720 мм, металлик, 4шт.;1314;упак.;Опора;1170
T027.C70N.110;Опора для стола складная, D50, Н700+30мм, хром, 1шт.;1930;шт.;Опора;1411,76
T027.C70N.208;Опора для стола складная, D50, Н700+30мм, серебро, 1шт.;510;шт.;Опора;1614,4
V40X40/720 AL;Опора для стола V-образная, 40х40, H720+5мм, хром матовый, 1шт.;68;шт.;Опора;1362,82
V40X40/720 BL;Опора для стола V-образная, 40х40, H720+5мм, черный, 1шт.;798;шт.;Опора;1362,82
V40X40/720 CR;Опора для стола V-образная, 40х40, H720+5мм, хром вулканический, 1шт.;2770;шт.;Опора;1646,74
X4RG 1100 CR 1;Опора для стола, D60, H1100+25 мм, хром, 1шт.;754;шт.;Опора;400,12
X4RG 710 / 4 ШТ;Опора для стола, D60, H715+25 мм, хром, 4шт.;2535;упак.;Опора;1200
X4RG 710 CR 4;Опора для стола, D60, H710+25 мм, хром, 4шт.;2919;упак.;Опора;1017,37
X4RG 710 MCR 4;Опора для стола, D60, H710+25 мм, мат. хром, 4шт.;796;упак.;Опора;1200,29
X4RG 710 MNK 4;Опора для стола, D60, H710+25 мм, мат. никель, 4шт.;666;упак.;Опора;1364,83
X4RG 710/MCR 4 ШТ;Опора для стола, D60, H715+25 мм, мат. хром, 4шт.;1235;упак.;Опора;1400
X4RG 870 CR 1;Опора для стола, D60, H870+25 мм, хром, 1шт.;619;шт.;Опора;325,83
П60X30/720 AL;Опора для стола П-образная, 60х30, H720+5мм, хром матовый, 1шт.;1306;шт.;Опора;1873,87
П60X30/720 BL;Опора для стола П-образная, 60х30, H720+5мм, черный, 1шт.;2957;шт.;Опора;1873,87
П60X30/720 CR;Опора для стола П-образная, 60х30, H720+5мм, хром вулканический, 1шт.;2325;шт.;Опора;2044,22
ПТ60X30/820-870 BL;Опора для стола П-образная, 60х30, H820-870(+5мм), черный, 1шт.;194;шт.;Опора;2044,22
ПТ60X30/820-870 CR;Опора для стола П-образная, 60х30, H820-870(+5мм), хром вулканический, 1шт.;1071;шт.;Опора;2214,58
ПТ60X30/820-870 WH;Опора для стола П-образная, 60х30, H820-870(+5мм), белый, 1шт.;496;шт.;Опора;2044,22
ТЕЛЕСКОП АЛЮМ МАТ;Опора телескоп, H450-630 мм, хром матовый, 1шт.;624;шт.;Опора;431,56
F7S60X60/730CR;Подстолье 60х60, H730+5мм, хром, 1шт.;80;компл.;Опора;5523
L1D60/730CR;Подстолье D60, H730+5мм, хром, 1шт.;1629;компл.;Опора;4095
T80X80/715BL;Подстолье 80х80, H715+5мм, черный, 1шт.;671;компл.;Опора;3585,75
T80X80TWIN/715BL;Подстолье 80х80 двойное, H715+5мм, черный, 1шт.;732;компл.;Опора;6069
Т 76/715 АЛЮМ МАТ;Подстолье с круглым основ, D60, H700, хром матовый, 1шт.;929;шт.;Опора;3179,9
Т 76/715 АЛЮМ МАТ КВ;Подстолье с квадратным основ, D60, H700, хром матовый, 1шт.;2128;шт.;Опора;3179,9
Т 76/715 ХРОМ;Подстолье с круглым основ, D60, H700, хром вулканический, 1шт.;355;шт.;Опора;1240
Т 76/715 ХРОМ КВ;Подстолье с квадратным основ, D60, H700, хром вулканический, 1шт.;1503;шт.;Опора;1440
ADJ1.020.CM;Опора декоративная Н20+8мм хром матовый;1953;шт.;Опора;34,07
ADJ10.060.AL;Опора декоративная Н60+18мм хром матовый;2817;шт.;Опора;433,41
ADJ10.060.CR;Опора декоративная Н60+18мм хром;1922;шт.;Опора;200
ADJ2.045.CM;Опора декоративная Н45+8мм хром матовый;2805;шт.;Опора;39,75
ADJ3.040.CM;Опора декоративная Н40+10мм хром матовый;1976;шт.;Опора;26,25
ADJ4.060.CMCR;Опора декоративная D56мм, Н60+27мм хром матовый/хром;2366;шт.;Опора;56,78
ADJ4.100.CMCR;Опора декоративная D56мм, Н100+27мм хром матовый/хром;998;шт.;Опора;62,46
ADJ5.100.CM;Опора декоративная Н100+10мм хром матовый;1221;шт.;Опора;20
ADJ6.020.CM;Опора декоративная Н20+8мм хром матовый;2625;шт.;Опора;24,15
ADJ7.060.AL;Опора декоративная D40мм, Н60+18мм алюминий;1235;шт.;Опора;46,07
ADJ7.060.CR;Опора декоративная D40мм, Н60+18мм хром;1573;шт.;Опора;69,3
ADJ7.100.AL;Опора декоративная D40мм, Н100+18мм алюминий;374;шт.;Опора;59,85
ADJ7.100.CR;Опора декоративная D40мм, Н100+18мм хром;812;шт.;Опора;77,7
ADJ7.120.AL;Опора декоративная D40мм, Н120+18мм алюминий;2371;шт.;Опора;71,87
ADJ7.150.AL;Опора декоративная D40мм, Н150+18мм алюминий;2881;шт.;Опора;86,61
ADJ7.150.CR;Опора декоративная D40мм, Н150+18мм хром;1258;шт.;Опора;109,2
ADJ7.180.AL;Опора декоративная Н180+18мм алюминий;2296;шт.;Опора;112,35
ADJ8.060.AL;Опора декоративная Н60+18мм алюминий;1960;шт.;Опора;46,07
ADJ8.060.CR;Опора декоративная Н60+18мм хром;1350;шт.;Опора;57,75
ADJ8.100.AL;Опора декоративная Н100+18мм алюминий;573;шт.;Опора;59,85
ADJ8.100.CR;Опора декоративная Н100+18мм хром;592;шт.;Опора;77,7
ADJ8.120.AL;Опора декоративная Н120+18мм алюминий;2073;шт.;Опора;71,87
ADJ8.150.AL;Опора декоративная Н150+18мм алюминий;695;шт.;Опора;86,61
ADJ8.150.CR;Опора декоративная Н150+18мм хром;2457;шт.;Опора;109,2
ADJ8.180.AL;Опора декоративная Н180+18мм алюминий;1330;шт.;Опора;112,35
ADJ9.016.AL;Опора декоративная Н16+18мм хром матовый;1339;шт.;Опора;272,4
ADJ9.016.CR;Опора декоративная Н16+18мм хром;2749;шт.;Опора;340,68
FIX01.050.CM;Опора декоративная Н50мм хром матовый;1303;шт.;Опора;28,39
FIX01.100.CM;Опора декоративная Н100мм хром матовый;2235;шт.;Опора;51,1
FIX01.150.CM;Опора декоративная Н150мм хром матовый;1554;шт.;Опора;56,78
FIX011.100.CR;Опора декоративная Н100мм хром;394;шт.;Опора;100
FIX013.100.CR;Опора декоративная D50мм, Н100мм хром;1848;шт.;Опора;50
FIX013/R.100.CR;Опора декоративная D50мм, Н100мм хром;2462;шт.;Опора;82,95
FIX014.043.CR;Опора декоративная D40мм, Н43мм хром;2223;шт.;Опора;50
FIX015.055.CR;Опора декоративная Н55мм хром;1042;шт.;Опора;332,48
FIX016.055.CR;Опора декоративная Н55мм хром;1404;шт.;Опора;184,83
FIX017.052.CR;Опора декоративная Н52мм хром;2205;шт.;Опора;230,84
FIX018.035.CR;Опора декоративная Н35мм хром;777;шт.;Опора;230,84
FIX019.135.CR;Опора декоративная Н135мм хром;951;шт.;Опора;225,61
FIX020.100.AL;Опора декоративная Н100мм алюминий;2397;шт.;Опора;302,09
FIX020.120.AL;Опора декоративная Н120мм алюминий;1287;шт.;Опора;320,6
FIX020.150.AL;Опора декоративная Н150мм алюминий;274;шт.;Опора;350,29
LF010 АЛЮМ ГЛЯН;Опора декоративная D51мм, Н150+33мм алюминий глянец;558;шт.;Опора;140,83
NA01C00 100ММ;Опора декоративная Н100мм алюминий;2315;шт.;Опора;150
NA02C00 100ММ;Опора декоративная Н100мм алюминий;137;шт.;Опора;200
NA02C00 120ММ;Опора декоративная Н120мм алюминий;2519;шт.;Опора;50
NA02C00 150ММ;Опора декоративная Н150мм алюминий;686;шт.;Опора;50
NA03C00/100/R;Опора декоративная Н100+20мм алюминий;104;шт.;Опора;573,71
NA10C00 R120ММ;Опора декоративная D32мм, Н120+10мм алюминий;2150;шт.;Опора;150
