Артикул;Наименование;Количество;Единица измерения;Тип;Цена
WPM M4 X25 IB/100ШТ;Винт с полукруглой головкой под крест, M4 X 25;2372;упак.;Винт;100,93
WPM M4 X40 IB/100ШТ;Винт с полукруглой головкой под крест, M4 X 40;470;упак.;Винт;157,33
WPM M4 X8 IB/100ШТ;Винт с полукруглой головкой под крест, M4 X 8;2771;упак.;Винт;69,05
WPM M5 X12 IB/ШТ;Винт с полукруглой головкой под крест, M5 X 12;199;шт.;Винт;2,54
WS M5 X50KB/ШТ;Винт с потай. головкой под крест, M5 X50;1168;шт.;Винт;0,25
WS M6X12KB/ШТ;Винт с потайной головкой под крест, M6 X 12;1141;шт.;Винт;0,75
ZZ150 M4 X45 IB/ШТ;Винт с полукруглой головкой под крест, M4 X 45, универсальный, никель;2679;шт.;Винт;1,91
BP01;Гайка для ножки мебельной М6;86;шт.;Гайка;2,38
BP01/CH;Гайка для ножки мебельной М6;289;шт.;Гайка;2,62
BP02;Гайка для ножки мебельной М8;2063;шт.;Гайка;3,62
BP02/CH;Гайка для ножки мебельной М8;1321;шт.;Гайка;3,89
BP03;Гайка для ножки мебельной М10;2578;шт.;Гайка;6,01
C019;Гайка усовая M6;858;шт.;Гайка;1,13
C020;Гайка усовая M8;2039;шт.;Гайка;1,41
C021;Гайка усовая M10;1403;шт.;Гайка;2,05
N M8 B;Гайка шестигранная M8;273;шт.;Гайка;1,98
NE M5 B;Гайка ERICSONA M5;2166;шт.;Гайка;10,11
NE M6 B;Гайка ERICSONA M6;2640;шт.;Гайка;7,28
NK M10 B;Гайка колпачковая M10;428;шт.;Гайка;1,67
SP M8;Шайба плоская для винта М8;1698;шт.;Шайба;5,51
TN M8 B;"Гайка ""барашковая"" М8";203;шт.;Гайка;5,23
D009 M4X40;Шпилька метрич./саморез, M4X40;2523;шт.;Шпилька;0,15
D011 M8X60;Шпилька метрическая/саморез, M8 X 60;1684;шт.;Шпилька;4,17
D012 M10X60;Шпилька метрич./саморез, M10X60;1636;шт.;Шпилька;0,4
09.0020.013.50.54;Заглушка самоклеющ. черный, D13 /уп. 20 шт.;467;упак.;Заглушка;19,9
09.0020.013.50.5H;Заглушка самоклеющ. орех, D13 /уп. 20 шт.;2642;упак.;Заглушка;7,64
09.0020.013.50.70;Заглушка самоклеющ. бук, D13 /уп. 20 шт.;2369;упак.;Заглушка;6,9
09.0020.013.50.7L;Заглушка самоклеющ. венге, D13 /уп. 20 шт.;2863;упак.;Заглушка;5
09.0020.013.50.7S;Заглушка самоклеющ. махагон, D13/уп. 20 шт..;1919;упак.;Заглушка;7,65
09.0020.013.50.C01;Заглушка самоклеющ. Клен Фьёрд, D13/уп. 20 шт.;2685;упак.;Заглушка;6,9
09.0020.013.50.C13;Заглушка самоклеющ. клен, D13 /уп. 20 шт.;1863;упак.;Заглушка;6,9
